steamId,name,firstReleaseDate,copiesSold,price,revenue,avgPlaytime,publisherClass,publishers,developers,steamUrl,review_count,review_score,followers,tags
619820,Heroes of Hammerwatch II,2025-01-14,376913,17.99,5654229.0,21,AA,['Team17'],['Crackshell'],https://store.steampowered.com/app/619820,4566,85,32093,"['2D', 'Action', 'Action RPG', 'Action Roguelike', 'Adventure', 'Character Customization', 'Class-Based', 'Combat', 'Dungeon Crawler', 'Fantasy', 'Hack and Slash', 'Medieval', 'Multiplayer', 'Pixel Graphics', 'Procedural Generation', 'RPG', 'Retro', 'Roguelike', 'Roguelite', 'Top-Down']"
638510,dotAGE,2023-10-04,97326,17.59,1384600.0,17,Indie,['Michele Pirovano'],['Michele Pirovano'],https://store.steampowered.com/app/638510,2433,95,14123,"['2D', 'Board Game', 'Building', 'Choices Matter', 'City Builder', 'Colony Sim', 'Cute', 'Dark Humor', 'Difficult', 'Funny', 'Medieval', 'Pixel Graphics', 'Resource Management', 'Roguelike', 'Roguelite', 'Simulation', 'Survival', 'Tabletop', 'Turn-Based', 'Turn-Based Strategy']"
813230,ANIMAL WELL,2024-05-09,650925,24.99,12568206.0,7,Indie,['Bigmode'],['Billy Basso'],https://store.steampowered.com/app/813230,21706,96,54687,"['2D', 'Action', 'Adventure', 'Atmospheric', 'Controller', 'Cute', 'Exploration', 'Horror', 'Indie', 'Metroidvania', 'Mystery', 'Nonlinear', 'Pixel Graphics', 'Platformer', 'Puzzle', 'Puzzle Platformer', 'Relaxing', 'Retro', 'Singleplayer', 'Surreal']"
866020,Growtopia,2024-03-07,153746,0.0,69909.0,3,AAA,['Ubisoft'],['Ubisoft Abu Dhabi'],https://store.steampowered.com/app/866020,1883,27,566,"['2D', 'Adventure', 'Building', 'Casual', 'Character Customization', 'Colorful', 'Cooking', 'Crafting', 'Cute', 'Exploration', 'Fantasy', 'Free to Play', 'Funny', 'MMORPG', 'Massively Multiplayer', 'Multiplayer', 'Open World', 'Pixel Graphics', 'Sandbox', 'Simulation']"
1012570,Knuckle Sandwich,2023-11-22,9469,19.99,161206.0,8,Indie,"['Dinko', 'SUPERHOT PRESENTS']",['Andy Brophy'],https://store.steampowered.com/app/1012570,658,86,3835,"['2D', 'Colorful', 'Comedy', 'Cute', 'Dark', 'Exploration', 'Fantasy', 'Funny', 'Indie', 'Minigames', 'Party-Based RPG', 'Pixel Graphics', 'Psychological Horror', 'RPG', 'Retro', 'Singleplayer', 'Story Rich', 'Stylized', 'Turn-Based', 'Turn-Based Combat']"
1098770,The Crimson Diamond,2024-08-15,9681,14.99,117520.0,6,Indie,['Julia Minamata'],['Julia Minamata'],https://store.steampowered.com/app/1098770,563,98,3106,"['1980s', ""1990's"", '2D', 'Adventure', 'Cozy', 'Exploration', 'Female Protagonist', 'Historical', 'Interactive Fiction', 'Investigation', 'Linear', 'Multiple Endings', 'Mystery', 'Old School', 'Pixel Graphics', 'Point & Click', 'Retro', 'Singleplayer', 'Text-Based', 'Typing']"
1147860,UFO 50,2024-09-18,234207,24.99,5298149.0,24,Indie,['Mossmouth'],['Mossmouth'],https://store.steampowered.com/app/1147860,6535,96,17246,"['1980s', '2D', '2D Platformer', 'Action', 'Adventure', 'Arcade', 'Casual', 'Difficult', 'Great Soundtrack', 'Indie', 'Local Multiplayer', 'Minigames', 'Pixel Graphics', 'Platformer', 'Puzzle', 'RPG', 'Retro', 'Roguelike', 'Sports', 'Strategy']"
1148350,The Powder Toy,2024-06-14,148177,0.0,0.0,5,Hobbyist,['The Powder Toy Team'],['The Powder Toy Team'],https://store.steampowered.com/app/1148350,1987,99,1876,"['2D', 'Building', 'Destruction', 'Education', 'Electronic', 'Free to Play', 'Moddable', 'Physics', 'Pixel Graphics', 'Realistic', 'Sandbox', 'Science', 'Simulation', 'Singleplayer']"
1157740,Iron Meat,2024-09-25,18890,19.99,294378.0,4,Indie,['Retroware'],"['Ivan Valeryevich Suvorov', 'Retroware']",https://store.steampowered.com/app/1157740,923,97,8578,"[""1990's"", '2D', '2D Platformer', 'Action', 'Arcade', 'Character Customization', 'Controller', 'Gun Customization', 'Horror', 'Indie', 'Linear', 'Local Multiplayer', 'Pixel Graphics', 'Platformer', 'Post-apocalyptic', 'Score Attack', ""Shoot 'Em Up"", 'Shooter', 'Side Scroller', 'Singleplayer']"
1170570,The Drifter,2025-07-17,25065,19.99,395027.0,5,Indie,['Powerhoof'],"['Powerhoof', 'Dave Lloyd']",https://store.steampowered.com/app/1170570,1474,98,12963,"[""1990's"", '2D', 'Adventure', 'Atmospheric', 'Conspiracy', 'Controller', 'Dark', 'Horror', 'Investigation', 'Modern', 'Mystery', 'Noir', 'Pixel Graphics', 'Point & Click', 'Sci-fi', 'Singleplayer', 'Story Rich', 'Supernatural', 'Thriller', 'Time Manipulation']"
