steamId,name,firstReleaseDate,copiesSold,price,revenue,avgPlaytime,publisherClass,developers,steamUrl,review_count,review_score,followers,tags,publisher,tag_text,log_review_count,log_followers
619820,Heroes of Hammerwatch II,2025-01-14,376913,17.99,5654229.0,21,AA,['Crackshell'],https://store.steampowered.com/app/619820,4566,85,32093,"['2D', 'Action', 'Action RPG', 'Action Roguelike', 'Adventure', 'Character Customization', 'Class-Based', 'Combat', 'Dungeon Crawler', 'Fantasy', 'Hack and Slash', 'Medieval', 'Multiplayer', 'Pixel Graphics', 'Procedural Generation', 'RPG', 'Retro', 'Roguelike', 'Roguelite', 'Top-Down']",Team17,2D Action Action RPG Action Roguelike Adventure Character Customization Class-Based Combat Dungeon Crawler Fantasy Hack and Slash Medieval Multiplayer Pixel Graphics Procedural Generation RPG Retro Roguelike Roguelite Top-Down,8.426611813185,10.376424375759305
638510,dotAGE,2023-10-04,97326,17.59,1384600.0,17,Indie,['Michele Pirovano'],https://store.steampowered.com/app/638510,2433,95,14123,"['2D', 'Board Game', 'Building', 'Choices Matter', 'City Builder', 'Colony Sim', 'Cute', 'Dark Humor', 'Difficult', 'Funny', 'Medieval', 'Pixel Graphics', 'Resource Management', 'Roguelike', 'Roguelite', 'Simulation', 'Survival', 'Tabletop', 'Turn-Based', 'Turn-Based Strategy']",Michele Pirovano,2D Board Game Building Choices Matter City Builder Colony Sim Cute Dark Humor Difficult Funny Medieval Pixel Graphics Resource Management Roguelike Roguelite Simulation Survival Tabletop Turn-Based Turn-Based Strategy,7.797291273547472,9.555630757048277
813230,ANIMAL WELL,2024-05-09,650925,24.99,12568206.0,7,Indie,['Billy Basso'],https://store.steampowered.com/app/813230,21706,96,54687,"['2D', 'Action', 'Adventure', 'Atmospheric', 'Controller', 'Cute', 'Exploration', 'Horror', 'Indie', 'Metroidvania', 'Mystery', 'Nonlinear', 'Pixel Graphics', 'Platformer', 'Puzzle', 'Puzzle Platformer', 'Relaxing', 'Retro', 'Singleplayer', 'Surreal']",Bigmode,2D Action Adventure Atmospheric Controller Cute Exploration Horror Indie Metroidvania Mystery Nonlinear Pixel Graphics Platformer Puzzle Puzzle Platformer Relaxing Retro Singleplayer Surreal,9.985390068155763,10.909399585915317
1012570,Knuckle Sandwich,2023-11-22,9469,19.99,161206.0,8,Indie,['Andy Brophy'],https://store.steampowered.com/app/1012570,658,86,3835,"['2D', 'Colorful', 'Comedy', 'Cute', 'Dark', 'Exploration', 'Fantasy', 'Funny', 'Indie', 'Minigames', 'Party-Based RPG', 'Pixel Graphics', 'Psychological Horror', 'RPG', 'Retro', 'Singleplayer', 'Story Rich', 'Stylized', 'Turn-Based', 'Turn-Based Combat']",Dinko,2D Colorful Comedy Cute Dark Exploration Fantasy Funny Indie Minigames Party-Based RPG Pixel Graphics Psychological Horror RPG Retro Singleplayer Story Rich Stylized Turn-Based Turn-Based Combat,6.490723534502507,8.252185436003328
1012570,Knuckle Sandwich,2023-11-22,9469,19.99,161206.0,8,Indie,['Andy Brophy'],https://store.steampowered.com/app/1012570,658,86,3835,"['2D', 'Colorful', 'Comedy', 'Cute', 'Dark', 'Exploration', 'Fantasy', 'Funny', 'Indie', 'Minigames', 'Party-Based RPG', 'Pixel Graphics', 'Psychological Horror', 'RPG', 'Retro', 'Singleplayer', 'Story Rich', 'Stylized', 'Turn-Based', 'Turn-Based Combat']",SUPERHOT PRESENTS,2D Colorful Comedy Cute Dark Exploration Fantasy Funny Indie Minigames Party-Based RPG Pixel Graphics Psychological Horror RPG Retro Singleplayer Story Rich Stylized Turn-Based Turn-Based Combat,6.490723534502507,8.252185436003328
1098770,The Crimson Diamond,2024-08-15,9681,14.99,117520.0,6,Indie,['Julia Minamata'],https://store.steampowered.com/app/1098770,563,98,3106,"['1980s', ""1990's"", '2D', 'Adventure', 'Cozy', 'Exploration', 'Female Protagonist', 'Historical', 'Interactive Fiction', 'Investigation', 'Linear', 'Multiple Endings', 'Mystery', 'Old School', 'Pixel Graphics', 'Point & Click', 'Retro', 'Singleplayer', 'Text-Based', 'Typing']",Julia Minamata,1980s 1990's 2D Adventure Cozy Exploration Female Protagonist Historical Interactive Fiction Investigation Linear Multiple Endings Mystery Old School Pixel Graphics Point & Click Retro Singleplayer Text-Based Typing,6.335054251498059,8.041412909393047
1147860,UFO 50,2024-09-18,234207,24.99,5298149.0,24,Indie,['Mossmouth'],https://store.steampowered.com/app/1147860,6535,96,17246,"['1980s', '2D', '2D Platformer', 'Action', 'Adventure', 'Arcade', 'Casual', 'Difficult', 'Great Soundtrack', 'Indie', 'Local Multiplayer', 'Minigames', 'Pixel Graphics', 'Platformer', 'Puzzle', 'RPG', 'Retro', 'Roguelike', 'Sports', 'Strategy']",Mossmouth,1980s 2D 2D Platformer Action Adventure Arcade Casual Difficult Great Soundtrack Indie Local Multiplayer Minigames Pixel Graphics Platformer Puzzle RPG Retro Roguelike Sports Strategy,8.785080636539838,9.7553934942914
1157740,Iron Meat,2024-09-25,18890,19.99,294378.0,4,Indie,"['Ivan Valeryevich Suvorov', 'Retroware']",https://store.steampowered.com/app/1157740,923,97,8578,"[""1990's"", '2D', '2D Platformer', 'Action', 'Arcade', 'Character Customization', 'Controller', 'Gun Customization', 'Horror', 'Indie', 'Linear', 'Local Multiplayer', 'Pixel Graphics', 'Platformer', 'Post-apocalyptic', 'Score Attack', ""Shoot 'Em Up"", 'Shooter', 'Side Scroller', 'Singleplayer']",Retroware,1990's 2D 2D Platformer Action Arcade Character Customization Controller Gun Customization Horror Indie Linear Local Multiplayer Pixel Graphics Platformer Post-apocalyptic Score Attack Shoot 'Em Up Shooter Side Scroller Singleplayer,6.828712071641684,9.057072635572965
1170570,The Drifter,2025-07-17,25065,19.99,395027.0,5,Indie,"['Powerhoof', 'Dave Lloyd']",https://store.steampowered.com/app/1170570,1474,98,12963,"[""1990's"", '2D', 'Adventure', 'Atmospheric', 'Conspiracy', 'Controller', 'Dark', 'Horror', 'Investigation', 'Modern', 'Mystery', 'Noir', 'Pixel Graphics', 'Point & Click', 'Sci-fi', 'Singleplayer', 'Story Rich', 'Supernatural', 'Thriller', 'Time Manipulation']",Powerhoof,1990's 2D Adventure Atmospheric Conspiracy Controller Dark Horror Investigation Modern Mystery Noir Pixel Graphics Point & Click Sci-fi Singleplayer Story Rich Supernatural Thriller Time Manipulation,7.29641326877392,9.469931564261438
1231560,Aurelia,2024-12-17,87129,19.99,1346433.0,7,Indie,['MirthalGames'],https://store.steampowered.com/app/1231560,1631,95,27160,"['2D', 'Adventure', 'Anime', 'Choose Your Own Adventure', 'Dating Sim', 'Exploration', 'Hand-drawn', 'Hentai', 'Indie', 'LGBTQ+', 'Mature', 'NSFW', 'Nudity', 'Pixel Graphics', 'Point & Click', 'RPG', 'Retro', 'Sexual Content', 'Singleplayer', 'Turn-Based Combat']",Critical Bliss,2D Adventure Anime Choose Your Own Adventure Dating Sim Exploration Hand-drawn Hentai Indie LGBTQ+ Mature NSFW Nudity Pixel Graphics Point & Click RPG Retro Sexual Content Singleplayer Turn-Based Combat,7.397561535524052,10.209537399846088
1231990,Gestalt: Steam & Cinder,2024-07-16,33042,19.99,426600.0,6,AA,['Metamorphosis Games'],https://store.steampowered.com/app/1231990,1768,80,19060,"['2D', '2D Platformer', 'Action', 'Adventure', 'Anime', 'Atmospheric', 'Combat', 'Exploration', 'Fantasy', 'Female Protagonist', 'Indie', 'JRPG', 'Metroidvania', 'Narrative', 'Pixel Graphics', 'Platformer', 'RPG', 'Singleplayer', 'Steampunk', 'Story Rich']",Fireshine Games,2D 2D Platformer Action Adventure Anime Atmospheric Combat Exploration Fantasy Female Protagonist Indie JRPG Metroidvania Narrative Pixel Graphics Platformer RPG Singleplayer Steampunk Story Rich,7.478169694159785,9.855399641729074
1233070,Isles of Sea and Sky,2024-05-22,36196,19.99,454521.0,12,Indie,['Cicada Games'],https://store.steampowered.com/app/1233070,1149,94,5200,"['Adventure', 'Atmospheric', 'Casual', 'Collectathon', 'Exploration', 'Lore-Rich', 'Metroidvania', 'Multiple Endings', 'Mythology', 'Nonlinear', 'Old School', 'Open World', 'Pixel Graphics', 'Puzzle', 'Relaxing', 'Retro', 'Singleplayer', 'Sokoban', 'Strategy', 'Stylized']",Cicada Games,Adventure Atmospheric Casual Collectathon Exploration Lore-Rich Metroidvania Multiple Endings Mythology Nonlinear Old School Open World Pixel Graphics Puzzle Relaxing Retro Singleplayer Sokoban Strategy Stylized,7.047517221357296,8.556606193773073
1233070,Isles of Sea and Sky,2024-05-22,36196,19.99,454521.0,12,Indie,['Cicada Games'],https://store.steampowered.com/app/1233070,1149,94,5200,"['Adventure', 'Atmospheric', 'Casual', 'Collectathon', 'Exploration', 'Lore-Rich', 'Metroidvania', 'Multiple Endings', 'Mythology', 'Nonlinear', 'Old School', 'Open World', 'Pixel Graphics', 'Puzzle', 'Relaxing', 'Retro', 'Singleplayer', 'Sokoban', 'Strategy', 'Stylized']",Gamirror Games,Adventure Atmospheric Casual Collectathon Exploration Lore-Rich Metroidvania Multiple Endings Mythology Nonlinear Old School Open World Pixel Graphics Puzzle Relaxing Retro Singleplayer Sokoban Strategy Stylized,7.047517221357296,8.556606193773073
1244090,Sea of Stars,2023-08-28,390972,34.99,10435906.0,19,Indie,['Sabotage Studio'],https://store.steampowered.com/app/1244090,13191,89,109948,"['2D', 'Adventure', 'Co-op', 'Emotional', 'Exploration', 'Fantasy', 'Funny', 'Indie', 'JRPG', 'Local Co-Op', 'Lore-Rich', 'Multiplayer', 'Nostalgia', 'Party-Based RPG', 'Pixel Graphics', 'RPG', 'Retro', 'Singleplayer', 'Story Rich', 'Turn-Based Combat']",Sabotage Studio,2D Adventure Co-op Emotional Exploration Fantasy Funny Indie JRPG Local Co-Op Lore-Rich Multiplayer Nostalgia Party-Based RPG Pixel Graphics RPG Retro Singleplayer Story Rich Turn-Based Combat,9.487365864239434,11.607771900898346
1252680,SENTRY,2024-03-25,23637,19.99,414550.0,9,Indie,['Fireblade Software'],https://store.steampowered.com/app/1252680,751,85,13429,"['3D', 'Action', 'Aliens', 'Colorful', 'Combat', 'Early Access', 'FPS', 'First-Person', 'Inventory Management', 'Pixel Graphics', 'Roguelike', 'Roguelite', 'Sci-fi', 'Shooter', 'Singleplayer', 'Space', 'Strategy', 'Stylized', 'Survival', 'Tower Defense']",Fireblade Software,3D Action Aliens Colorful Combat Early Access FPS First-Person Inventory Management Pixel Graphics Roguelike Roguelite Sci-fi Shooter Singleplayer Space Strategy Stylized Survival Tower Defense,6.62273632394984,9.505246289517283
1274600,The Last Faith,2023-11-15,98934,27.99,1926618.0,12,AA,['Kumi Souls Games'],https://store.steampowered.com/app/1274600,4203,82,36243,"['2D', 'Action', 'Adventure', 'Blood', 'Controller', 'Dark', 'Dark Fantasy', 'Difficult', 'Gore', 'Gothic', 'Horror', 'Indie', 'Metroidvania', 'Pixel Graphics', 'Platformer', 'Side Scroller', 'Singleplayer', 'Souls-like', 'Vampire', 'Violent']",Playstack,2D Action Adventure Blood Controller Dark Dark Fantasy Difficult Gore Gothic Horror Indie Metroidvania Pixel Graphics Platformer Side Scroller Singleplayer Souls-like Vampire Violent,8.343791731996841,10.498029129341951
1286990,CONSCRIPT,2024-07-23,42774,19.99,655659.0,8,AA,"['Jordan Mochi', 'Catchweight Studio']",https://store.steampowered.com/app/1286990,1633,92,19753,"['2D', 'Action-Adventure', 'Adventure', 'Alternate History', 'Atmospheric', 'Dark', 'Exploration', 'Historical', 'Horror', 'Inventory Management', 'Isometric', 'Military', 'Multiple Endings', 'Pixel Graphics', 'Psychological Horror', 'Survival', 'Survival Horror', 'Top-Down', 'War', 'World War I']",Team17,2D Action-Adventure Adventure Alternate History Atmospheric Dark Exploration Historical Horror Inventory Management Isometric Military Multiple Endings Pixel Graphics Psychological Horror Survival Survival Horror Top-Down War World War I,7.3987862754199485,9.891111281468072
1293170,BZZZT,2023-11-13,21102,11.99,133354.0,3,Indie,['KO.DLL'],https://store.steampowered.com/app/1293170,1008,94,2959,"['2D', '2D Platformer', 'Action', 'Arcade', 'Colorful', 'Controller', 'Cute', 'Difficult', 'Fast-Paced', 'Funny', 'Indie', 'Perma Death', 'Pixel Graphics', 'Platformer', 'Precision Platformer', 'Robots', 'Score Attack', 'Singleplayer', 'Soundtrack', 'Time Attack']",CINEMAX GAMES,2D 2D Platformer Action Arcade Colorful Controller Cute Difficult Fast-Paced Funny Indie Perma Death Pixel Graphics Platformer Precision Platformer Robots Score Attack Singleplayer Soundtrack Time Attack,6.9167150203536085,7.992944547318106
1320140,Small Saga,2023-11-16,22261,19.99,390755.0,6,Indie,['Darya Noghani'],https://store.steampowered.com/app/1320140,1942,96,9006,"[""1990's"", '2.5D', '2D', 'Adventure', 'Colorful', 'Dark Fantasy', 'Exploration', 'Fantasy', 'Indie', 'Isometric', 'JRPG', 'LGBTQ+', 'Linear', 'Medieval', 'Nature', 'Party-Based RPG', 'Pixel Graphics', 'RPG', 'Story Rich', 'Turn-Based Combat']",Darya Noghani,1990's 2.5D 2D Adventure Colorful Dark Fantasy Exploration Fantasy Indie Isometric JRPG LGBTQ+ Linear Medieval Nature Party-Based RPG Pixel Graphics RPG Story Rich Turn-Based Combat,7.57198844937744,9.105757331783742
1325260,Kitsune Tails,2024-08-01,10331,19.99,164598.0,4,Indie,['Kitsune Games'],https://store.steampowered.com/app/1325260,824,95,3636,"['2D', '2D Platformer', 'Action', 'Adventure', 'Atmospheric', 'Cute', 'Difficult', 'Exploration', 'Fantasy', 'Fast-Paced', 'Female Protagonist', 'Indie', 'LGBTQ+', 'Pixel Graphics', 'Platformer', 'Precision Platformer', 'Retro', 'Side Scroller', 'Singleplayer', 'Story Rich']",Kitsune Games,2D 2D Platformer Action Adventure Atmospheric Cute Difficult Exploration Fantasy Fast-Paced Female Protagonist Indie LGBTQ+ Pixel Graphics Platformer Precision Platformer Retro Side Scroller Singleplayer Story Rich,6.715383386334681,8.19891444498699
1325260,Kitsune Tails,2024-08-01,10331,19.99,164598.0,4,Indie,['Kitsune Games'],https://store.steampowered.com/app/1325260,824,95,3636,"['2D', '2D Platformer', 'Action', 'Adventure', 'Atmospheric', 'Cute', 'Difficult', 'Exploration', 'Fantasy', 'Fast-Paced', 'Female Protagonist', 'Indie', 'LGBTQ+', 'Pixel Graphics', 'Platformer', 'Precision Platformer', 'Retro', 'Side Scroller', 'Singleplayer', 'Story Rich']","MidBoss, LLC.",2D 2D Platformer Action Adventure Atmospheric Cute Difficult Exploration Fantasy Fast-Paced Female Protagonist Indie LGBTQ+ Pixel Graphics Platformer Precision Platformer Retro Side Scroller Singleplayer Story Rich,6.715383386334681,8.19891444498699
1337520,Risk of Rain Returns,2023-11-08,1124412,14.99,13082093.0,16,AA,['Hopoo Games'],https://store.steampowered.com/app/1337520,27994,90,53172,"['2D', 'Action', 'Action Roguelike', 'Arcade', 'Atmospheric', 'Class-Based', 'Co-op', 'Combat', 'Controller', 'Local Co-Op', 'Loot', 'Looter Shooter', 'Multiplayer', 'Online Co-Op', 'Pixel Graphics', 'PvE', 'Roguelike', 'Sci-fi', 'Singleplayer', 'Space']",Gearbox Publishing,2D Action Action Roguelike Arcade Atmospheric Class-Based Co-op Combat Controller Local Co-Op Loot Looter Shooter Multiplayer Online Co-Op Pixel Graphics PvE Roguelike Sci-fi Singleplayer Space,10.239781201782993,10.881306027701488
1340480,The Cosmic Wheel Sisterhood,2023-08-16,121757,17.99,1491874.0,6,AA,['Deconstructeam'],https://store.steampowered.com/app/1340480,5115,94,19681,"['2D', 'Adventure', 'Atmospheric', 'Casual', 'Choices Matter', 'Colorful', 'Fantasy', 'Female Protagonist', 'Great Soundtrack', 'Indie', 'Interactive Fiction', 'LGBTQ+', 'Magic', 'Mystery', 'Narrative', 'Pixel Graphics', 'Sexual Content', 'Singleplayer', 'Story Rich', 'Visual Novel']",Devolver Digital,2D Adventure Atmospheric Casual Choices Matter Colorful Fantasy Female Protagonist Great Soundtrack Indie Interactive Fiction LGBTQ+ Magic Mystery Narrative Pixel Graphics Sexual Content Singleplayer Story Rich Visual Novel,8.540128162698734,9.88745979145893
1346360,Old Skies,2025-04-23,11348,19.99,191617.0,8,Indie,['Wadjet Eye Games'],https://store.steampowered.com/app/1346360,699,94,4438,"['2D', 'Adventure', 'Cinematic', 'Conversation', 'Emotional', 'Exploration', 'Fantasy', 'Female Protagonist', 'Futuristic', 'Interactive Fiction', 'Investigation', 'Linear', 'Mystery', 'Narration', 'Pixel Graphics', 'Point & Click', 'Retro', 'Sci-fi', 'Story Rich', 'Time Travel']",Wadjet Eye Games,2D Adventure Cinematic Conversation Emotional Exploration Fantasy Female Protagonist Futuristic Interactive Fiction Investigation Linear Mystery Narration Pixel Graphics Point & Click Retro Sci-fi Story Rich Time Travel,6.551080335043404,8.398184404834035
